               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 125,            0.015517,           0.0084952,            0.013137,             0.92995,             0.87581,             0.94829,             0.75492,            0.012863,           0.0026141,           0.0075011,            0.003862,            0.003862,            0.003862
                 126,            0.015145,           0.0082506,            0.013894,             0.91273,             0.89028,             0.94889,             0.76137,            0.012607,           0.0026736,           0.0079205,           0.0038125,           0.0038125,           0.0038125
                 127,            0.015328,           0.0081701,            0.012294,             0.87979,             0.91368,             0.96039,             0.78152,             0.01175,           0.0025511,           0.0073227,            0.003763,            0.003763,            0.003763
                 128,             0.01525,           0.0083521,            0.013279,              0.9197,             0.90467,             0.95001,             0.77948,             0.01095,           0.0024676,           0.0071194,           0.0037135,           0.0037135,           0.0037135
                 129,            0.015254,           0.0083197,            0.013557,              0.9476,             0.88358,             0.96159,              0.7878,            0.011918,           0.0025233,           0.0065547,            0.003664,            0.003664,            0.003664
                 130,            0.015335,           0.0083547,            0.012841,             0.95302,             0.88143,              0.9661,             0.76841,            0.012274,           0.0026477,           0.0065383,           0.0036145,           0.0036145,           0.0036145
                 131,            0.015294,           0.0081198,            0.012913,             0.92975,             0.90111,             0.96836,             0.77098,            0.012115,           0.0026743,           0.0058444,            0.003565,            0.003565,            0.003565
                 132,            0.015006,           0.0082177,            0.012537,             0.92924,             0.86387,             0.95607,              0.7765,            0.011485,           0.0025502,            0.006818,           0.0035155,           0.0035155,           0.0035155
                 133,            0.014815,           0.0081111,            0.012548,             0.92506,             0.88361,             0.96594,              0.7776,            0.012142,           0.0025383,           0.0059291,            0.003466,            0.003466,            0.003466
                 134,            0.014981,            0.008149,            0.012233,             0.93493,             0.91393,             0.95879,              0.7641,            0.012197,           0.0024857,           0.0062797,           0.0034165,           0.0034165,           0.0034165
                 135,            0.014839,           0.0080823,            0.012145,             0.93111,             0.89496,             0.94906,             0.75875,            0.012049,           0.0025497,             0.00647,            0.003367,            0.003367,            0.003367
                 136,            0.014273,           0.0077165,            0.010898,             0.93589,             0.90555,             0.95495,             0.76343,            0.011951,           0.0025316,           0.0064255,           0.0033175,           0.0033175,           0.0033175
                 137,            0.014917,           0.0082001,             0.01184,             0.92806,             0.89343,             0.95453,             0.76317,            0.012027,           0.0024986,           0.0066095,            0.003268,            0.003268,            0.003268
                 138,            0.014686,           0.0079033,            0.012098,             0.94366,             0.91466,             0.96578,             0.77364,            0.012163,           0.0025111,           0.0046646,           0.0032185,           0.0032185,           0.0032185
                 139,            0.014745,           0.0083042,            0.011534,             0.93976,             0.90749,             0.95615,             0.77007,            0.011405,           0.0024885,           0.0055412,            0.003169,            0.003169,            0.003169
                 140,            0.014817,           0.0081716,            0.011811,             0.93575,             0.90884,             0.96071,             0.76947,            0.012099,           0.0025168,           0.0064398,           0.0031195,           0.0031195,           0.0031195
                 141,            0.014847,           0.0081746,            0.012165,             0.92816,             0.91467,             0.95704,             0.75417,            0.012703,           0.0025962,           0.0059933,             0.00307,             0.00307,             0.00307
                 142,             0.01432,           0.0080357,            0.011898,             0.92291,             0.91947,             0.95466,             0.75833,            0.011549,           0.0024714,           0.0063448,           0.0030205,           0.0030205,           0.0030205
                 143,             0.01405,           0.0079283,            0.011485,             0.92582,             0.88129,             0.95731,             0.77434,            0.011303,           0.0024285,           0.0068197,            0.002971,            0.002971,            0.002971
                 144,            0.014557,           0.0079504,            0.011437,               0.926,             0.88561,             0.95009,             0.75293,            0.012397,           0.0026027,           0.0065042,           0.0029215,           0.0029215,           0.0029215
                 145,            0.014164,           0.0077842,            0.010147,             0.93178,             0.88591,             0.95192,             0.77012,             0.01168,            0.002638,           0.0064713,            0.002872,            0.002872,            0.002872
